,anxiety,FES
0,42,202
1,25,148
2,26,162
3,20,172
4,16,188
5,66,139
6,41,192
7,31,161
8,74,138
9,23,195
10,41,173
11,42,187
12,-3,224
13,45,217
14,22,211
15,44,169
16,38,209
17,16,204
18,57,207
19,20,187
20,25,193
21,44,165
22,65,175
23,45,159
24,56,164
25,-2,177
26,30,199
27,41,170
28,60,149
29,18,172
30,51,169
31,16,172
32,46,224
33,68,156
34,15,132
35,52,139
36,35,181
37,31,130
38,31,154
39,-1,174
40,22,165
41,42,161
42,62,156
43,40,176
44,43,179
45,27,147
46,19,190
47,24,184
48,17,173
49,8,184
50,20,176
51,44,200
52,45,157
53,15,196
54,43,171
55,45,212
56,35,185
57,42,162
58,34,162
59,53,153
60,49,165
61,27,230
62,36,161
63,2,171
64,22,162
65,46,143
66,23,223
67,40,202
68,45,197
69,32,156
70,18,178
71,22,170
72,14,226
73,49,153
74,32,198
75,5,205
76,42,130
77,17,191
78,26,168
79,47,202
80,32,178
81,29,153
82,37,173
83,34,162
84,42,195
85,43,143
86,27,182
87,47,159
88,45,170
89,33,191
90,8,180
91,60,121
92,54,126
93,41,218
94,21,227
95,11,218
96,44,176
97,67,201
98,52,152
99,51,165
