,anxiety,FES
65,46,143
69,32,156
80,32,178
72,14,226
29,18,172
34,15,132
54,43,171
94,21,227
75,5,205
48,17,173
59,53,153
58,34,162
18,57,207
47,24,184
50,20,176
70,18,178
61,27,230
68,45,197
27,41,170
83,34,162
56,35,185
62,36,161
55,45,212
12,-3,224
96,44,176
67,40,202
43,40,176
76,42,130
85,43,143
19,20,187
79,47,202
74,32,198
89,33,191
14,22,211
5,66,139
28,60,149
90,8,180
53,15,196
92,54,126
44,43,179
46,19,190
32,46,224
8,74,138
33,68,156
3,20,172
9,23,195
31,16,172
91,60,121
42,62,156
4,16,188
